,EAN Code,TV Model,PVP,TVs
1395,8806087301618.0,27MP89HM-S.AEU,212.39,True
1396,8806098385409.0,65SM8500PLA.AEU,739.31,True
1397,8806098386468.0,65UM7400PLB.AEU,599.75,True
1398,8806098382910.0,32LM630BPLA.AEU,240.96,True
1399,8806098387854.0,49UM7400PLB.AEU,349.32,True
1400,8806098387854.0,49UM7400PLB.AEU,349.32,True
1401,8806098141524.0,32LK510BPLD.AEU,193.07,True
1402,8806098141524.0,32LK510BPLD.AEU,193.07,True
1403,8806098387854.0,49UM7400PLB.AEU,349.32,True
1404,8806098408887.0,55SM8200PLA.AEU,503.93,True
1405,8806098387854.0,49UM7400PLB.AEU,349.32,True
1406,8806098387854.0,49UM7400PLB.AEU,349.32,True
1407,8806098387854.0,49UM7400PLB.AEU,349.32,True
1408,8806098387854.0,49UM7400PLB.AEU,349.32,True
1409,8806098487332.0,29WL500-B.AEU,184.78,True
1410,8806098387854.0,49UM7400PLB.AEU,349.32,True
1411,8806098141524.0,32LK510BPLD.AEU,193.07,True
1412,8806098386468.0,65UM7400PLB.AEU,599.75,True
1413,8806098385126.0,OLED65C9PLA.AEU,1784.86,True
1414,8806098487332.0,29WL500-B.AEU,218.7,True
1415,8806098487332.0,29WL500-B.AEU,218.7,True
1416,8806098387854.0,49UM7400PLB.AEU,349.32,True
1417,8806098425006.0,65UM7510PLA.AEU,792.04,True
1418,8806098387854.0,49UM7400PLB.AEU,349.32,True
1419,8806098387854.0,49UM7400PLB.AEU,349.32,True
1420,8806098387854.0,49UM7400PLB.AEU,349.32,True
1421,8806098387854.0,49UM7400PLB.AEU,349.32,True
1422,8806098387854.0,49UM7400PLB.AEU,349.32,True
1423,8806098387854.0,49UM7400PLB.AEU,349.32,True
1424,8806098382910.0,32LM630BPLA.AEU,405.62,True
1425,8806098382910.0,32LM630BPLA.AEU,405.62,True
1426,8806098382910.0,32LM630BPLA.AEU,219.07,True
1427,8806098388547.0,43UM7450PLA.AEU,395.41,True
1428,8806098387854.0,49UM7400PLB.AEU,349.32,True
1429,8806098293957.0,24TL510S-PZ.AEU,143.64,True
1430,8806098387960.0,43UM7600PLB.AEU,426.7,True
1431,8806098387960.0,43UM7600PLB.AEU,426.7,True
1432,8806098396467.0,60UM7100PLB.AEU,523.94,True
1433,8806098387854.0,49UM7400PLB.AEU,349.32,True
1434,8806098387854.0,49UM7400PLB.AEU,349.32,True
1435,8806098382910.0,32LM630BPLA.AEU,219.07,True
1436,8806098383207.0,49SM8600PLA.AEU,600.67,True
